Tumeken's guardian,Raids,Tombs of Amascut,=IMAGE("https://oldschool.runescape.wiki/images/Tumeken%27s_guardian.png?5790e"),True,1,False,False
Tumeken's shadow (uncharged),Raids,Tombs of Amascut,=IMAGE("https://oldschool.runescape.wiki/images/Tumeken%27s_shadow_%28uncharged%29.png?3169b"),True,1,False,False
Elidinis' ward,Raids,Tombs of Amascut,=IMAGE("https://oldschool.runescape.wiki/images/Elidinis%27_ward.png?a2353"),True,1,False,False
Masori mask,Raids,Tombs of Amascut,=IMAGE("https://oldschool.runescape.wiki/images/Masori_mask.png?44891"),False,0,False,False
Masori body,Raids,Tombs of Amascut,=IMAGE("https://oldschool.runescape.wiki/images/Masori_body.png?44891"),True,1,False,False
Masori chaps,Raids,Tombs of Amascut,=IMAGE("https://oldschool.runescape.wiki/images/Masori_chaps.png?44891"),True,1,False,False
Lightbearer,Raids,Tombs of Amascut,=IMAGE("https://oldschool.runescape.wiki/images/Lightbearer.png?6da96"),True,4,False,False
Osmumten's fang,Raids,Tombs of Amascut,=IMAGE("https://oldschool.runescape.wiki/images/Osmumten%27s_fang.png?b0b20"),True,2,False,False
Thread of elidinis,Raids,Tombs of Amascut,=IMAGE("https://oldschool.runescape.wiki/images/Thread_of_elidinis.png?b0b20"),True,4,False,False
Breach of the scarab,Raids,Tombs of Amascut,=IMAGE("https://oldschool.runescape.wiki/images/Breach_of_the_scarab.png?1815d"),True,1,False,False
Eye of the corruptor,Raids,Tombs of Amascut,=IMAGE("https://oldschool.runescape.wiki/images/Eye_of_the_corruptor.png?1815d"),True,1,False,False
Jewel of the sun,Raids,Tombs of Amascut,=IMAGE("https://oldschool.runescape.wiki/images/Jewel_of_the_sun.png?1815d"),True,1,False,False
Menaphite ornament kit,Raids,Tombs of Amascut,=IMAGE("https://oldschool.runescape.wiki/images/Menaphite_ornament_kit.png?5790e"),True,1,False,False
Cursed phalanx,Raids,Tombs of Amascut,=IMAGE("https://oldschool.runescape.wiki/images/Cursed_phalanx.png?5790e"),True,1,False,False
Masori crafting kit,Raids,Tombs of Amascut,=IMAGE("https://oldschool.runescape.wiki/images/Masori_crafting_kit.png?5790e"),True,1,False,False
Cache of runes,Raids,Tombs of Amascut,=IMAGE("https://oldschool.runescape.wiki/images/Cache_of_runes.png?f1fde"),True,17,False,False
Icthlarin's shroud (tier 1),Raids,Tombs of Amascut,=IMAGE("https://oldschool.runescape.wiki/images/Icthlarin%27s_shroud_%28tier_1%29.png?2ee00"),True,1,False,False
Icthlarin's shroud (tier 2),Raids,Tombs of Amascut,=IMAGE("https://oldschool.runescape.wiki/images/Icthlarin%27s_shroud_%28tier_2%29.png?2ee00"),False,0,False,False
Icthlarin's shroud (tier 3),Raids,Tombs of Amascut,=IMAGE("https://oldschool.runescape.wiki/images/Icthlarin%27s_shroud_%28tier_3%29.png?2ee00"),False,0,False,False
Icthlarin's shroud (tier 4),Raids,Tombs of Amascut,=IMAGE("https://oldschool.runescape.wiki/images/Icthlarin%27s_shroud_%28tier_4%29.png?2a8b2"),False,0,False,False
Icthlarin's shroud (tier 5),Raids,Tombs of Amascut,=IMAGE("https://oldschool.runescape.wiki/images/Icthlarin%27s_shroud_%28tier_5%29.png?2a8b2"),False,0,False,False
Remnant of akkha,Raids,Tombs of Amascut,=IMAGE("https://oldschool.runescape.wiki/images/Remnant_of_akkha.png?5790e"),False,0,False,False
Remnant of ba-ba,Raids,Tombs of Amascut,=IMAGE("https://oldschool.runescape.wiki/images/Remnant_of_ba-ba.png?5790e"),False,0,False,False
Remnant of kephri,Raids,Tombs of Amascut,=IMAGE("https://oldschool.runescape.wiki/images/Remnant_of_kephri.png?5790e"),False,0,False,False
Remnant of zebak,Raids,Tombs of Amascut,=IMAGE("https://oldschool.runescape.wiki/images/Remnant_of_zebak.png?5790e"),False,0,False,False
Ancient remnant,Raids,Tombs of Amascut,=IMAGE("https://oldschool.runescape.wiki/images/Ancient_remnant.png?5e2ab"),True,1,False,False
